analysis_id,4anu528d71r2559
mouse_life_stage,Early adult
gene_accession_id,MGI:1923959
parameter_id,MGP_IMM_022_001
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_symbol,Arpc2
mouse_strain,129SV
pvalue,0.8399415
