gene_symbol,Rab3gap2
pvalue,0.3282331
analysis_id,b83p5cb5z74e8ci
gene_accession_id,MGI:1916043
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_MLN_074_001
parameter_name,Effector CD8+ T cells - % of CD45+
