gene_symbol,Nemp2
parameter_id,MGP_MLN_071_001
analysis_id,93f50z7f041fkfz
parameter_name,Resting Treg cells - % of CD45+
gene_accession_id,MGI:2444113
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3624303
