gene_symbol,Hrnr
parameter_id,GMC_906_001_005
gene_accession_id,MGI:3046938
mouse_life_stage,Early adult
parameter_name,Potassium
pvalue,0.2983101
mouse_strain,C57BL
analysis_id,l9utc4075n8499l
