parameter_name,Lean/Body weight
mouse_strain,C57BL
gene_accession_id,MGI:1920638
analysis_id,mx1f0npk81785l9
mouse_life_stage,Early adult
pvalue,0.6630102
gene_symbol,BPIFA3
parameter_id,IMPC_DXA_008_001
