parameter_name,Red blood cell count
pvalue,0.4422057
parameter_id,IMPC_HEM_002_001
mouse_strain,C57BL
analysis_id,18693md3v4427d8
gene_symbol,Clvs1
gene_accession_id,MGI:1921688
mouse_life_stage,Early adult
