analysis_id,09u1p7ptdj7p383
gene_symbol,Hpca
parameter_name,Average duration
pvalue,0.1348894
gene_accession_id,MGI:1336200
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_ROT_002_001
