gene_symbol,Trp53rkb
gene_accession_id,MGI:1914050
pvalue,0.6940522
analysis_id,z9p9ju16085bc45
parameter_id,IMPC_FEA_107_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
