gene_symbol,Slc30a4
parameter_name,Monocyte percentage
analysis_id,b5b4do1nm03g81n
parameter_id,MGP_PBI_016_001
mouse_strain,C57BL
gene_accession_id,MGI:1345282
mouse_life_stage,Early adult
pvalue,0.1068241
