parameter_id,IMPC_XRY_021_001
gene_accession_id,MGI:88461
analysis_id,bc13z930y74d1pw
parameter_name,Humerus
mouse_strain,C57BL
pvalue,0.964561
gene_symbol,Col6a3
mouse_life_stage,Early adult
