parameter_name,B2B Cells
mouse_strain,C57BL
analysis_id,gi5781c4qz0y047
pvalue,0.7280263
parameter_id,IMPC_IMM_065_001
gene_accession_id,MGI:2442483
mouse_life_stage,Early adult
gene_symbol,Usp37
