parameter_name,Humerus
gene_symbol,Bcs1l
parameter_id,IMPC_XRY_021_001
analysis_id,291g9x6fmp9yp67
gene_accession_id,MGI:1914071
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.8772664
