analysis_id,87ritlh7852oo4m
mouse_life_stage,Early adult
gene_accession_id,MGI:2444113
parameter_name,Haemoglobin
pvalue,0.6825419
parameter_id,ESLIM_016_001_003
gene_symbol,Nemp2
mouse_strain,C57BL
