analysis_id,43te1djg06n2r9v
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
parameter_name,Fasted blood glucose concentration
pvalue,1.395349
mouse_strain,129SV
parameter_id,IMPC_IPG_010_001
gene_symbol,Inpp1
