parameter_name,Percent time in dark
mouse_strain,C57BL
pvalue,0.4215086
mouse_life_stage,Early adult
gene_symbol,Morn5
analysis_id,00kr13r35c80b1m
gene_accession_id,MGI:1922745
parameter_id,JAX_LDT_008_001
