analysis_id,b421nn6j5n036eg
mouse_life_stage,Late adult
parameter_id,TCPLA_XRY_033_001
mouse_strain,C57BL
pvalue,0.07525048
gene_accession_id,MGI:109356
gene_symbol,Snap23
parameter_name,Tibia length
