gene_symbol,Trp53i11
parameter_name,HR
parameter_id,IMPC_ECG_002_001
pvalue,0.6672497
mouse_strain,C50BL
gene_accession_id,MGI:2670995
mouse_life_stage,Early adult
analysis_id,5l8j1nf788yyx48
