gene_symbol,Tnni1
mouse_strain,C57BL
parameter_id,IMPC_CSD_078_001
pvalue,0.8976924
gene_accession_id,MGI:105073
mouse_life_stage,Early adult
analysis_id,a4wpa93gzd46tx6
parameter_name,Vocalization
