analysis_id,z4lm0428ta3y55y
parameter_name,Hemorrhage
parameter_id,IMPC_GEO_009_002
mouse_life_stage,Early adult
gene_symbol,Ufc1
gene_accession_id,MGI:1913405
mouse_strain,C57BL
pvalue,0.853536
