parameter_name,Eosinophils
analysis_id,8aj44r8u4ql2tus
gene_symbol,Frmpd1
pvalue,0.5493188
mouse_strain,C57BL
gene_accession_id,MGI:2446274
parameter_id,IMPC_IMM_052_001
mouse_life_stage,Middle aged adult
