Parameter_id,JAX_OFD_020_001
Analysis_id,l894v0558o548td
gene_accession_id,MGI:1913284
Parameter_name,Distance travelled - total
mouse_strain,C57BL
Mouse_life_stage,Early adult
gene_symbol,Psmd14
Pvalue,0.1801356
