analysis_id,id28x4c68u7iz32
gene_accession_id,MGI:1914309
gene_symbol,Ola1
mouse_life_stage,E18.5
parameter_id,MGP_CSD_066_001
pvalue,0.6032011
mouse_strain,C57BL
parameter_name,Snout morphology
