parameter_name,CD8 CD44+CD62L- T cells
analysis_id,wd9g64f8r1t549l
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
parameter_id,IMPC_IMM_032_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7525237
