gene_symbol,Sla2
pvalue,0.8282669
analysis_id,94fgct4nlko6550
mouse_life_stage,Early adult
gene_accession_id,MGI:1925049
parameter_name,Eosinophil number
parameter_id,MGP_PBI_040_001
mouse_strain,C57BL
