parameter_name,HR
pvalue,0.1217169
gene_accession_id,MGI:1914050
mouse_strain,C57BL
gene_symbol,Trp53rkb
parameter_id,IMPC_ECG_002_001
mouse_life_stage,Early adult
analysis_id,6y0199wsl4p45hj
