parameter_id,IMPC_ECG_010_001
mouse_strain,C57BL
parameter_name,HRV
analysis_id,9xwhq9hhrrw706g
gene_accession_id,MGI:95457
pvalue,0.7636869
mouse_life_stage,E12.5
gene_symbol,Mecom
