parameter_name,Hindlimb digit - size
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Duoxa2
gene_accession_id,MGI:1914061
pvalue,0.5499672
analysis_id,9h60pvjh715gpuz
parameter_id,IMPC_CSD_047_001
