analysis_id,245453vkeij4fc5
parameter_name,Red blood cell distribution width
mouse_life_stage,Early adult
pvalue,0.8326607
mouse_strain,C57BL
gene_accession_id,MGI:1914561
parameter_id,IMPC_HEM_027_001
gene_symbol,Nanp
