analysis_id,np8mz4vg4s04bla
parameter_id,JAX_OFD_010_001
mouse_strain,C57BL
pvalue,0.6111947
gene_accession_id,MGI:1917810
parameter_name,Periphery distance travelled
gene_symbol,Wars2
mouse_life_stage,E12.5
