analysis_id,g9f09v89o43plce
parameter_id,JAXLA_CSD_041_002
mouse_life_stage,Early adult
parameter_name,Hindpaw - size
gene_accession_id,MGI:105072
mouse_strain,C57BL
pvalue,0.6665434
gene_symbol,Rab22a
