parameter_name,Caudal processes
pvalue,0.3449353
mouse_life_stage,Early adult
analysis_id,879x932rl82m3w3
gene_symbol,Psd4
mouse_strain,C57BL
gene_accession_id,MGI:2674093
parameter_id,IMPC_XRY_067_001
