analysis_id,l80q034381e9zi0
gene_symbol,Traf6
mouse_strain,C57BL
gene_accession_id,MGI:108072
parameter_name,Urea (Blood Urea Nitrogen - BUN)
parameter_id,IMPC_CBC_004_001
pvalue,0.1106467
mouse_life_stage,Early adult
