analysis_id,93634mw27h103b4
parameter_id,IMPC_OFD_022_001
gene_accession_id,MGI:1915087
parameter_name,Percentage center time
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_symbol,Tiprl
pvalue,0.6757748
