parameter_id,ICS_FEA_019_001
analysis_id,762ao10y3y5826j
parameter_name,% Freezing duration pre-cue-2
mouse_strain,C57BL
gene_symbol,Ubxn11
mouse_life_stage,Early adult
pvalue,0.3168757
gene_accession_id,MGI:1914836
