parameter_id,IMPC_ACS_037_001
pvalue,0.6306009
parameter_name,% Pre-pulse inhibition - Global
gene_symbol,Fgb
mouse_life_stage,Early adult
gene_accession_id,MGI:99501
analysis_id,j35lfm0s67l4iwm
mouse_strain,C57BL
