analysis_id,6632k2a58xqp8us
mouse_life_stage,Early adult
gene_accession_id,MGI:1914944
gene_symbol,Ift74
mouse_strain,C57BL
parameter_name,Breath rate during sleep mean
pvalue,0.6482645
parameter_id,JAX_SLW_013_001
