analysis_id,5doy54c5wabl4rs
pvalue,0.2545865
mouse_strain,C57BL
parameter_id,IMPC_XRY_022_001
gene_symbol,Gfi1b
parameter_name,Radius
gene_accession_id,MGI:1276578
mouse_life_stage,Early adult
