analysis_id,4171959554seb06
gene_accession_id,MGI:1913405
gene_symbol,Ufc1
mouse_strain,C57BL
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
mouse_life_stage,Early adult
pvalue,0.9729234
parameter_id,MGP_BMI_006_001
