parameter_name,Hemorrhage
gene_symbol,TBL1XR1
gene_accession_id,MGI:2441730
pvalue,0.1200716
mouse_strain,C57BL
analysis_id,72p388efh77zuz2
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_009_002
