gene_symbol,Trpa1
mouse_strain,C54BL
parameter_name,Resting CD4+ T helper cells - % of CD45+
parameter_id,MGP_IMM_074_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3522699
pvalue,0.5597845
analysis_id,k40w794c9za1bp8
