parameter_name,Center permanence time
gene_accession_id,MGI:1338022
mouse_strain,C57BL
gene_symbol,Opn3
analysis_id,dk7e1yy8n330bj3
pvalue,0.1274398
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_016_001
