parameter_name,lens
parameter_id,M-G-P_014_001_009
pvalue,0.1332459
mouse_strain,C57BL
gene_symbol,Hpca
mouse_life_stage,Middle aged adult
analysis_id,szxjz4zd19uwz68
gene_accession_id,MGI:1336200
