gene_symbol,Kifap3
pvalue,0.7614917
parameter_name,Retina (combined)
parameter_id,IMPC_EYE_092_002
analysis_id,6787f03h49jht3b
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:107566
