analysis_id,c5f484bs8pb7i3p
parameter_id,IMPC_HEM_031_001
gene_accession_id,MGI:1916220
gene_symbol,Dcaf12
parameter_name,Lymphocyte differential count
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3609526
