parameter_name,eye size
gene_accession_id,MGI:1917604
mouse_strain,C57BL
analysis_id,840744v9dd876cj
mouse_life_stage,Middle aged adult
gene_symbol,Secisbp2l
pvalue,0.962677
parameter_id,ESLIM_001_001_117
