analysis_id,02ae7g79orl8im8
gene_accession_id,MGI:104640
mouse_life_stage,Early adult
pvalue,0.7589215
parameter_name,Dark side time spent
gene_symbol,Rab17
mouse_strain,C57BL
parameter_id,JAX_LDT_004_001
