mouse_life_stage,E12.5
analysis_id,px1u9q7or74m9u5
gene_accession_id,MGI:99501
parameter_id,IMPC_HEM_036_001
gene_symbol,Fgb
pvalue,0.9354359
parameter_name,Eosinophil cell count
mouse_strain,C57BL
