analysis_id,0yi7ct13c7m302f
gene_symbol,Morn5
parameter_name,Lumbar processes
parameter_id,IMPC_XRY_065_001
pvalue,0.3770699
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1922745
