analysis_id,3034nq72m1f9c78
parameter_id,MGP_IMM_006_001
gene_accession_id,MGI:88174
gene_symbol,Bmi1
mouse_life_stage,E12.5
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.7135973
mouse_strain,C57BL
