analysis_id,9v02e7zh598gc21
mouse_life_stage,E9.5
gene_accession_id,MGI:1913483
pvalue,0.2379315
mouse_strain,C57BL
gene_symbol,Dmap1
parameter_name,End-Systolic Diameter
parameter_id,IMPC_ECH_001_001
