analysis_id,56683o5264575r9
gene_symbol,Rab13
parameter_id,IMPC_HEM_008_001
pvalue,0.7422792
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Platelet count
gene_accession_id,MGI:1927232
