analysis_id,8yk0rl2ror8f7mb
mouse_life_stage,Early adult
pvalue,0.3332706
mouse_strain,C57BL
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
parameter_id,MGP_IMM_017_001
gene_symbol,Rnf114
gene_accession_id,MGI:1933159
