gene_symbol,Trdmt1
pvalue,0.7381519
parameter_id,M-G-P_007_001_008
analysis_id,u2c40u7ct0h9cmy
mouse_life_stage,Early adult
gene_accession_id,MGI:1274787
mouse_strain,C57BL
parameter_name,Periphery - Permanence Time
