analysis_id,8rf1741r15ioe4f
gene_symbol,Slc45a3
gene_accession_id,MGI:1922082
pvalue,0.8730742
mouse_life_stage,Early adult
parameter_name,Respiration Rate
mouse_strain,C57BL
parameter_id,IMPC_ECH_018_001
