parameter_name,DN CD44+CD62L- NKT cells
parameter_id,IMPC_IMM_046_001
gene_accession_id,MGI:1934811
analysis_id,4t4zb8w0254eox9
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.4601622
gene_symbol,Nucks1
