gene_symbol,Ift74
pvalue,0.3940736
gene_accession_id,MGI:1914944
mouse_strain,C57BL
parameter_id,IMPC_OFD_021_001
mouse_life_stage,Early adult
analysis_id,58o12d3dc5gqtb8
parameter_name,Number of rears - total
