analysis_id,419sjjd4knk882q
parameter_name,Placenta Morphology
gene_symbol,Col6a3
mouse_strain,C57BL
gene_accession_id,MGI:88461
parameter_id,IMPC_GPO_002_001
pvalue,0.3077479
mouse_life_stage,Early adult
