parameter_name,Percent time in light
gene_accession_id,MGI:1336200
mouse_life_stage,Late adult
pvalue,0.382836
gene_symbol,Hpca
mouse_strain,C57BL
analysis_id,ix6lws7bu5z666l
parameter_id,JAX_LDT_009_001
