parameter_name,Retina (combined)
mouse_strain,129SV
gene_accession_id,MGI:1923959
gene_symbol,Arpc2
parameter_id,IMPC_EYE_092_002
pvalue,0.8127135
analysis_id,l743586l9589657
mouse_life_stage,Early adult
