parameter_name,Cornea vascularisation
pvalue,0.7995617
gene_accession_id,MGI:1913483
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_symbol,Dmap1
analysis_id,651h905294t8u31
parameter_id,ESLIM_014_001_008
