analysis_id,w2y05t1g2fi7h54
mouse_life_stage,Early adult
gene_symbol,Dnaaf9
mouse_strain,C57BL
pvalue,0.9618238
gene_accession_id,MGI:1923029
parameter_id,MGP_MLN_076_001
parameter_name,Naive CD8+ T cells - % of CD45+
