analysis_id,v013df97g10886g
gene_symbol,Tbl1xr1
parameter_id,JAXLA_DXA_003_001
mouse_strain,C57BL
pvalue,0.4962338
parameter_name,Lean mass
mouse_life_stage,Late adult
gene_accession_id,MGI:2441730
