mouse_strain,B6J
gene_accession_id,MGI:1346344
parameter_name,Whole arena average speed
analysis_id,ujnay452ga3kes9
parameter_id,JAXLA_OFD_009_001
mouse_life_stage,Early adult
pvalue,0.8058539
gene_symbol,Nr0b2
