analysis_id,nghz579d0z175hv
parameter_name,Body position
gene_symbol,Sgip1
parameter_id,ESLIM_008_001_001
mouse_strain,C57BL
gene_accession_id,MGI:1920344
mouse_life_stage,Early adult
pvalue,0.8643878
